iso3,region,sub_region,year,population,urban_pct,urban_pop_mn,gdp_pc_ppp_const2021,gdp_ppp_bn,gdp_growth_pct,gfcf_pct_gdp,coal_prod_twh,population_imputed,urban_pct_imputed,gdp_pc_ppp_const2021_imputed,gdp_growth_pct_imputed,gfcf_pct_gdp_imputed,coal_prod_twh_imputed,copper_usd_t_real2010,ironore_usd_dmtu_real2010,coal_aus_usd_t_real2010,gold_usd_oz_real2010
ARE,中近東,中近東,1995,2434667.0,78.2578079598212,1.90531702532114,104527.848240577,254.49050269234087,6.68766930139498,20.9781040294057,0.0,0,0,0,0,1,0,3194,30.9,42.8,418
ARE,中近東,中近東,1996,2597570.0,78.2689693716933,2.0330912677082935,103653.542710104,269.2473329374848,5.79855087420329,20.9781040294057,0.0,0,0,0,0,1,0,2545,33.3,42.2,430
ARE,中近東,中近東,1997,2817410.0,78.3820753836003,2.208344430065093,103392.379457138,291.29872380633515,8.19026264308846,20.9781040294057,0.0,0,0,0,0,1,0,2650,35.1,40.8,385
ARE,中近東,中近東,1998,3040432.0,78.5955507596055,2.389644275871289,96088.6587271972,292.1510328312496,0.292226494694063,20.9781040294057,0.0,0,0,0,0,1,0,2013,37.7,35.6,358
ARE,中近東,中近東,1999,3266011.0,78.9002662187301,2.5768913737330092,92047.6104655985,300.6285083043598,2.90205341564509,20.9781040294057,0.0,0,0,0,0,1,0,1952,34.2,32.1,346
ARE,中近東,中近東,2000,3493583.0,79.287092479995,2.7699603840753837,95390.8328858321,333.255792125784,10.852837927302,20.9781040294057,0.0,0,0,0,0,1,0,2279,36.2,33.0,351
ARE,中近東,中近東,2001,3723596.0,79.7469002624215,2.969452388295517,90750.3257926454,337.9175501201912,1.39892161061073,20.9781040294057,0.0,0,0,0,0,0,0,2061,39.2,42.2,354
ARE,中近東,中近東,2002,3956829.0,80.2705602850306,3.1761688078205736,87479.1545350862,346.1400555599106,2.43337487237925,21.071438593503,0.0,0,0,0,0,0,0,2061,38.7,33.4,410
ARE,中近東,中近東,2003,4192465.0,80.8489432668434,3.389563649332267,89828.493399274,376.6028145791873,8.80057809996346,20.7914566161251,0.0,0,0,0,0,0,0,2235,40.1,32.8,457
ARE,中近東,中近東,2004,4428964.0,81.4729199268812,3.608406293310395,93166.1568863784,412.62955486812206,9.56652626277928,18.6841309281584,0.0,0,0,0,0,0,0,3370,44.6,62.3,481
ARE,中近東,中近東,2005,4664797.0,82.2122832763517,3.835036123906755,92750.9226341994,432.6642256512455,4.85513657996815,18.3791279796083,0.0,0,0,0,0,0,0,4195,74.1,54.3,507
ARE,中近東,中近東,2006,5009106.0,82.5588968646829,4.135462656382643,94872.5121329578,475.22646976027164,9.83727922860218,17.5782119110158,0.0,0,0,0,0,0,0,7475,77.1,54.6,672
ARE,中近東,中近東,2007,5624640.0,82.758608500318,4.6548737971522876,87180.6001633546,490.3594909028108,3.18441281459761,23.5730251169477,0.0,0,0,0,0,0,0,7459,128.9,68.9,730
ARE,中近東,中近東,2008,6302669.0,82.9658963549658,5.22906583013656,80285.1613062103,506.0107973246512,3.19181235452885,22.3738986038094,0.0,0,0,0,0,0,0,6764,151.7,123.6,848
ARE,中近東,中近東,2009,6707063.0,83.1701992996163,5.578277664250824,71488.9696792101,479.4810234435519,-5.2429219073683,28.9130021992025,0.0,0,0,0,0,0,0,5339,82.9,74.5,1009
ARE,中近東,中近東,2010,6938372.0,83.3714299144178,5.7846199491815895,70913.7569272495,492.02602547883396,1.60285004336325,28.9130021992025,0.0,0,0,0,0,1,0,7535,145.9,99.0,1225
ARE,中近東,中近東,2011,7199436.0,83.5695007795347,6.0165327241421025,73190.4056300014,526.9296411472347,6.73651167897515,28.9130021992025,0.0,0,0,0,0,1,0,7950,151.1,109.4,1413
ARE,中近東,中近東,2012,7497122.0,83.7643244751488,6.279913598377765,73644.0549928884,552.1184648563934,4.68325642918792,28.9130021992025,0.0,0,0,0,0,1,0,7223,116.6,87.4,1515
ARE,中近東,中近東,2013,7831851.0,83.9558135814626,6.575294225537915,74237.2038000319,581.4147188184836,4.9184505919085,28.9130021992025,0.0,0,0,0,0,1,0,6681,123.3,77.0,1286
ARE,中近東,中近東,2014,8236880.0,84.1438806787019,6.930830478847862,74145.1175448951,610.7244358031955,4.63291785879667,28.9130021992025,0.0,0,0,0,0,1,0,6340,89.6,64.8,1169
ARE,中近東,中近東,2015,8674633.0,84.3284383471193,7.315182541243866,75238.5571858454,652.6668710367217,7.08766622657654,28.9130021992025,0.0,0,0,0,0,1,0,5630,57.1,60.2,1186
ARE,中近東,中近東,2016,9030873.0,84.5093991669984,7.6319365118346845,75671.036861385,683.3755236734866,5.65790147196586,28.9130021992025,0.0,0,0,0,0,1,0,5177,62.1,70.3,1328
ARE,中近東,中近東,2017,9234330.0,84.686675718659,7.8202471018908435,72529.0423512365,669.7571116552937,-1.06137114472548,28.9130021992025,0.0,0,0,0,0,1,1,6342,73.8,91.0,1293
ARE,中近東,中近東,2018,9346870.0,84.8601805824625,7.931770760808013,72671.0787288764,679.2471256385729,1.53720634021511,28.9130021992025,0.0,0,0,0,0,1,1,6411,68.5,105.1,1246
ARE,中近東,中近東,2019,9377855.0,85.0298263388195,7.973973820806302,72822.9466438922,682.9230342991576,1.27129120536284,28.9130021992025,0.0,0,0,0,0,1,1,6042,94.3,78.3,1400
ARE,中近東,中近東,2020,9448529.0,85.1955255681984,8.049723940013642,66808.6209256028,631.2431922655649,-8.69343363776639,28.9130021992025,0.0,0,0,0,0,1,1,6306,111.3,62.1,1808
ARE,中近東,中近東,2021,9789055.0,85.3571908511355,8.355662358872623,68580.1312912676,671.3346771174395,4.55280140106356,28.9130021992025,0.0,0,0,0,0,1,1,8516,147.8,126.2,1645
ARE,中近東,中近東,2022,10242085.0,85.5147347682487,8.758491822488585,70075.63837395,717.7206446552577,7.51452414254605,28.9130021992025,0.0,0,0,0,0,1,1,7512,103.3,293.7,1533
ARE,中近東,中近東,2023,10642089.0,85.6680699002526,9.116872243367094,70239.8328337228,747.4985523616002,4.30113648499413,28.9130021992025,0.0,0,0,0,0,1,1,7441,105.7,151.4,1703
ARE,中近東,中近東,2024,11027135.0,85.8171088279791,9.463168443558173,69701.785835525,768.611002149422,3.99181200361831,28.9130021992025,0.0,0,0,0,0,1,1,7943,95.0,118.3,2074
